:START_ID,:END_ID,:TYPE
Alex Mercer,d7d045db7baae0f6d60ed56b0123cd3a2cd67cddede6f27401d552bd73efa969,Source
dwarfed,d7d045db7baae0f6d60ed56b0123cd3a2cd67cddede6f27401d552bd73efa969,Source
projectors,d7d045db7baae0f6d60ed56b0123cd3a2cd67cddede6f27401d552bd73efa969,Source
Taylor Cruz,d7d045db7baae0f6d60ed56b0123cd3a2cd67cddede6f27401d552bd73efa969,Source
a smile,d7d045db7baae0f6d60ed56b0123cd3a2cd67cddede6f27401d552bd73efa969,Source
Jordan Hayes,d7d045db7baae0f6d60ed56b0123cd3a2cd67cddede6f27401d552bd73efa969,Source
a supportive nod,d7d045db7baae0f6d60ed56b0123cd3a2cd67cddede6f27401d552bd73efa969,Source
Sam Rivera,d7d045db7baae0f6d60ed56b0123cd3a2cd67cddede6f27401d552bd73efa969,Source
a comment,d7d045db7baae0f6d60ed56b0123cd3a2cd67cddede6f27401d552bd73efa969,Source
dismissively,d7d045db7baae0f6d60ed56b0123cd3a2cd67cddede6f27401d552bd73efa969,Source
in his seat,d7d045db7baae0f6d60ed56b0123cd3a2cd67cddede6f27401d552bd73efa969,Source
the struggle,d7d045db7baae0f6d60ed56b0123cd3a2cd67cddede6f27401d552bd73efa969,Source
a quiet resolve,d7d045db7baae0f6d60ed56b0123cd3a2cd67cddede6f27401d552bd73efa969,Source
The thrumming of monitors cast a stark contrast to the rigid silence enveloping the group.,d7d045db7baae0f6d60ed56b0123cd3a2cd67cddede6f27401d552bd73efa969,Source
"Agent Alex Mercer, unfailingly determined on paper, seemed dwarfed by the enormity of the sterile briefing room where Paranormal Military Squad's elite convened.",d7d045db7baae0f6d60ed56b0123cd3a2cd67cddede6f27401d552bd73efa969,Source
"With dulled eyes, he scanned the projectors outlining their impending odyssey into Operation: Dulce.",d7d045db7baae0f6d60ed56b0123cd3a2cd67cddede6f27401d552bd73efa969,Source
"It was Taylor Cruz’s voice, laced with an edge that demanded attention.",d7d045db7baae0f6d60ed56b0123cd3a2cd67cddede6f27401d552bd73efa969,Source
